Model,Purchasing Year,Post ODO,Warranty Type,Symptom Code,Damage Code,Related Parts,Related Parts Quantity,Repair Location,Estimated Amount,Labor Hours,Sublet Code,Sublet Amount,Prior ODO,Authorized By,Dealer Code,Warrenty Status,ReasonCode,Generation Logic
MAZDA_CX_5,2013,97413,K,72,9C,"['L01', 'B01']","[2, 1]",['W01'],1791.97,4.9,['C1'],56.22,97350,T,D126,A,ACP,"MAZDA_CX_5 purchased in 2013; 72 leads to 9C; ['L01', 'B01'] used in ['W01']; ODO 97350->97413 logically increases"
MAZDA_CX_50_HYBRID,2025,80728,A,13,9F,"['T01', 'E02']","[1, 1]","['F02', 'F01']",1388.9,3,[''],0,80418,T,D091,R,TSB,"MAZDA_CX_50_HYBRID purchased in 2025; 13 leads to 9F; ['T01', 'E02'] used in ['F02', 'F01']; ODO 80418->80728 logically increases"
MAZDA_CX_5,2025,123429,K,63,9E,['B01'],[2],"['F01', 'H01']",823.89,3.1,"['D1', 'B5']",412.02,123052,C,D061,A,ACP,"MAZDA_CX_5 purchased in 2025; 63 leads to 9E; ['B01'] used in ['F01', 'H01']; ODO 123052->123429 logically increases"
MAZDA_CX_50_HYBRID,2025,22825,P,72,9C,['E01'],[2],['F01'],1409.24,6.3,"['D1', 'A1']",280.32,22738,C,D018,A,ACP,MAZDA_CX_50_HYBRID purchased in 2025; 72 leads to 9C; ['E01'] used in ['F01']; ODO 22738->22825 logically increases
MAZDA_CX_30,2023,92648,K,87,9A,['S01'],[1],['H01'],2191.93,5.4,[''],0,92163,C,D015,A,ACP,MAZDA_CX_30 purchased in 2023; 87 leads to 9A; ['S01'] used in ['H01']; ODO 92163->92648 logically increases
MAZDA_CX_50,2022,118438,K,94,9B,['S01'],[1],"['H05', 'N01']",1251.65,7.3,['F1'],326.96,118228,C,D089,R,FIN,"MAZDA_CX_50 purchased in 2022; 94 leads to 9B; ['S01'] used in ['H05', 'N01']; ODO 118228->118438 logically increases"
MAZDA_MX_5_MIATA,2010,81287,A,91,9C,['E02'],[2],"['F01', 'P01']",2080.18,6.7,['B5'],348.06,81063,T,D105,A,ACP,"MAZDA_MX_5_MIATA purchased in 2010; 91 leads to 9C; ['E02'] used in ['F01', 'P01']; ODO 81063->81287 logically increases"
MAZDA_MX_5_MIATA_RF,2023,51110,P,63,9F,['T01'],[1],['W01'],1340.62,8,['F1'],116.9,50867,C,D047,R,TML,MAZDA_MX_5_MIATA_RF purchased in 2023; 63 leads to 9F; ['T01'] used in ['W01']; ODO 50867->51110 logically increases
MAZDA_CX_50,2023,62247,R,80,9B,['H01'],[2],"['H01', 'W01']",345.52,3.2,"['', 'E9']",0,61916,C,D003,R,BRV,"MAZDA_CX_50 purchased in 2023; 80 leads to 9B; ['H01'] used in ['H01', 'W01']; ODO 61916->62247 logically increases"
MAZDA_CX_70,2025,124179,P,59,8W,['T01'],[1],['H01'],1574.03,5.7,['C1'],67.85,124097,W,D025,R,APL,MAZDA_CX_70 purchased in 2025; 59 leads to 8W; ['T01'] used in ['H01']; ODO 124097->124179 logically increases
MAZDA_CX_90,2023,13721,R,17,9F,"['B01', 'E01']","[1, 2]",['P01'],433.07,8.5,['C1'],154.12,13496,T,D148,A,ACP,"MAZDA_CX_90 purchased in 2023; 17 leads to 9F; ['B01', 'E01'] used in ['P01']; ODO 13496->13721 logically increases"
MAZDA_CX_30,2020,147237,A,03,9E,"['L01', 'H01']","[2, 1]","['H05', 'F02']",2146.67,9.6,"['E9', 'B5']",335.8,147157,W,D078,A,ACP,"MAZDA_CX_30 purchased in 2020; 03 leads to 9E; ['L01', 'H01'] used in ['H05', 'F02']; ODO 147157->147237 logically increases"
MAZDA_CX_90_PHEV,2025,144401,P,89,81,['E01'],[1],"['H05', 'F02']",1338.73,8.3,"['A1', 'E9']",342.59,144346,T,D074,R,APL,"MAZDA_CX_90_PHEV purchased in 2025; 89 leads to 81; ['E01'] used in ['H05', 'F02']; ODO 144346->144401 logically increases"
MAZDA_CX_70,2025,45664,R,11,81,['B01'],[1],['H01'],838.21,8.5,['E9'],111.45,45406,W,D036,R,LOP,MAZDA_CX_70 purchased in 2025; 11 leads to 81; ['B01'] used in ['H01']; ODO 45406->45664 logically increases
MAZDA3_SEDAN,2007,48945,P,55,9B,"['S01', 'B01']","[1, 1]",['H05'],1412.9,4.5,"['B5', 'C1']",65.5,48892,C,D086,R,MSC,"MAZDA3_SEDAN purchased in 2007; 55 leads to 9B; ['S01', 'B01'] used in ['H05']; ODO 48892->48945 logically increases"
MAZDA_CX_70,2025,30251,R,65,8Z,"['S01', 'E01']","[1, 1]","['W01', 'H05']",1498.35,4.7,['K1'],405.63,29812,T,D088,A,ACP,"MAZDA_CX_70 purchased in 2025; 65 leads to 8Z; ['S01', 'E01'] used in ['W01', 'H05']; ODO 29812->30251 logically increases"
MAZDA3_HATCHBACK,2007,83541,K,66,8W,"['E01', 'L01']","[2, 2]",['N01'],1237.12,3.1,"['A1', 'E9']",444.43,83237,C,D019,A,ACP,"MAZDA3_HATCHBACK purchased in 2007; 66 leads to 8W; ['E01', 'L01'] used in ['N01']; ODO 83237->83541 logically increases"
MAZDA_CX_70,2024,56906,P,75,9A,"['E01', 'H01']","[2, 2]",['F02'],1173.35,6.1,['F1'],369.7,56501,T,D023,A,ACP,"MAZDA_CX_70 purchased in 2024; 75 leads to 9A; ['E01', 'H01'] used in ['F02']; ODO 56501->56906 logically increases"
MAZDA_CX_90,2025,16683,R,69,9D,"['L01', 'E01']","[2, 2]",['F02'],199.23,8.9,['K1'],282.37,16474,T,D116,R,DOC,"MAZDA_CX_90 purchased in 2025; 69 leads to 9D; ['L01', 'E01'] used in ['F02']; ODO 16474->16683 logically increases"
MAZDA_CX_90_PHEV,2025,5915,K,39,9D,"['E01', 'E02']","[2, 2]","['P01', 'F02']",681.03,8.6,['D1'],422.97,5525,T,D056,R,DCO,"MAZDA_CX_90_PHEV purchased in 2025; 39 leads to 9D; ['E01', 'E02'] used in ['P01', 'F02']; ODO 5525->5915 logically increases"
MAZDA_CX_70,2024,40530,K,96,9D,"['L01', 'B01']","[1, 1]","['H05', 'F01']",2222.1,5.5,"['F1', 'E9']",218.54,40100,W,D063,R,MSC,"MAZDA_CX_70 purchased in 2024; 96 leads to 9D; ['L01', 'B01'] used in ['H05', 'F01']; ODO 40100->40530 logically increases"
MAZDA_MX_5_MIATA_RF,2023,45663,P,88,8Z,"['E01', 'S01']","[2, 1]","['F02', 'H05']",1435.83,9.4,['A1'],160.28,45470,T,D006,A,ACP,"MAZDA_MX_5_MIATA_RF purchased in 2023; 88 leads to 8Z; ['E01', 'S01'] used in ['F02', 'H05']; ODO 45470->45663 logically increases"
MAZDA_MX_5_MIATA,2023,40720,K,28,9B,['H01'],[1],['P01'],1576.19,4,"['F1', 'A1']",105.82,40523,T,D109,A,ACP,MAZDA_MX_5_MIATA purchased in 2023; 28 leads to 9B; ['H01'] used in ['P01']; ODO 40523->40720 logically increases
MAZDA_CX_70_PHEV,2025,75425,R,36,9C,"['L01', 'E02']","[1, 2]",['P01'],1485.23,8.5,"['', 'E9']",0,74985,W,D100,A,ACP,"MAZDA_CX_70_PHEV purchased in 2025; 36 leads to 9C; ['L01', 'E02'] used in ['P01']; ODO 74985->75425 logically increases"
MAZDA_MX_5_MIATA_RF,2025,110332,R,50,9F,['T01'],[1],['H05'],250.65,0.9,['B5'],414.49,110204,T,D029,A,ACP,MAZDA_MX_5_MIATA_RF purchased in 2025; 50 leads to 9F; ['T01'] used in ['H05']; ODO 110204->110332 logically increases
MAZDA_CX_70_PHEV,2025,115153,K,35,8W,['H01'],[1],['H01'],1465.02,2.8,['E9'],325.54,114713,W,D072,R,APL,MAZDA_CX_70_PHEV purchased in 2025; 35 leads to 8W; ['H01'] used in ['H01']; ODO 114713->115153 logically increases
MAZDA3_HATCHBACK,2006,138827,P,84,9F,['B01'],[2],"['N01', 'H01']",1412.52,0.6,"['', 'B5']",0,138634,W,D033,R,DCO,"MAZDA3_HATCHBACK purchased in 2006; 84 leads to 9F; ['B01'] used in ['N01', 'H01']; ODO 138634->138827 logically increases"
MAZDA_CX_5,2022,140203,A,57,9F,['S01'],[2],"['W01', 'N01']",1876.35,6.8,['E9'],374.68,140016,T,D036,A,ACP,"MAZDA_CX_5 purchased in 2022; 57 leads to 9F; ['S01'] used in ['W01', 'N01']; ODO 140016->140203 logically increases"
MAZDA_CX_50_HYBRID,2025,104710,P,23,9E,"['E02', 'S01']","[1, 2]",['H05'],1994.32,10,['F1'],164.37,104234,W,D001,A,ACP,"MAZDA_CX_50_HYBRID purchased in 2025; 23 leads to 9E; ['E02', 'S01'] used in ['H05']; ODO 104234->104710 logically increases"
MAZDA_CX_90,2024,66934,R,76,9A,['E01'],[1],"['H01', 'W01']",2157.11,5.6,"['B5', 'E9']",166.07,66781,T,D029,R,QTY,"MAZDA_CX_90 purchased in 2024; 76 leads to 9A; ['E01'] used in ['H01', 'W01']; ODO 66781->66934 logically increases"
MAZDA_CX_5,2024,32542,P,04,8W,['L01'],[1],['P01'],552.62,1.7,['D1'],442.94,32337,T,D034,A,ACP,MAZDA_CX_5 purchased in 2024; 04 leads to 8W; ['L01'] used in ['P01']; ODO 32337->32542 logically increases
MAZDA_CX_70_PHEV,2025,124691,K,14,8Z,"['E01', 'E02']","[2, 2]",['W01'],2008.55,2.3,"['F1', 'C1']",74.88,124455,C,D006,A,ACP,"MAZDA_CX_70_PHEV purchased in 2025; 14 leads to 8Z; ['E01', 'E02'] used in ['W01']; ODO 124455->124691 logically increases"
MAZDA_MX_5_MIATA,2012,134572,A,53,81,"['S01', 'L01']","[2, 2]","['N01', 'F02']",1782.08,5.2,['D1'],342.5,134457,T,D024,A,ACP,"MAZDA_MX_5_MIATA purchased in 2012; 53 leads to 81; ['S01', 'L01'] used in ['N01', 'F02']; ODO 134457->134572 logically increases"
MAZDA_MX_5_MIATA_RF,2021,23881,R,63,9E,['S01'],[1],"['H01', 'H05']",177.47,6,"['F1', 'D1']",261.77,23611,T,D111,R,DCO,"MAZDA_MX_5_MIATA_RF purchased in 2021; 63 leads to 9E; ['S01'] used in ['H01', 'H05']; ODO 23611->23881 logically increases"
MAZDA_CX_90,2025,61317,R,67,9F,['E01'],[1],['F01'],1836.98,0.9,['A1'],395.57,61141,W,D126,R,DSA,MAZDA_CX_90 purchased in 2025; 67 leads to 9F; ['E01'] used in ['F01']; ODO 61141->61317 logically increases
MAZDA_CX_30,2025,17370,R,44,8Z,['S01'],[1],['F02'],1419.06,7.5,['F1'],149.63,17002,T,D059,R,DUP,MAZDA_CX_30 purchased in 2025; 44 leads to 8Z; ['S01'] used in ['F02']; ODO 17002->17370 logically increases
MAZDA_CX_70,2024,35889,K,83,9C,['E01'],[1],['F02'],994.42,1,"['E9', 'K1']",495.72,35715,T,D120,R,BRV,MAZDA_CX_70 purchased in 2024; 83 leads to 9C; ['E01'] used in ['F02']; ODO 35715->35889 logically increases
MAZDA3_HATCHBACK,2014,125242,A,24,81,"['B01', 'E01']","[2, 1]",['W01'],76.08,3.4,"['F1', 'D1']",244.6,125155,W,D110,R,APL,"MAZDA3_HATCHBACK purchased in 2014; 24 leads to 81; ['B01', 'E01'] used in ['W01']; ODO 125155->125242 logically increases"
MAZDA_CX_70_PHEV,2024,108919,R,54,9A,"['E01', 'B01']","[1, 1]","['F02', 'P01']",306.02,5.6,"['C1', '']",404.39,108588,T,D022,R,PID,"MAZDA_CX_70_PHEV purchased in 2024; 54 leads to 9A; ['E01', 'B01'] used in ['F02', 'P01']; ODO 108588->108919 logically increases"
MAZDA_MX_5_MIATA,1996,6636,K,83,9E,['S01'],[1],"['F02', 'P01']",2438.03,5.3,"['B5', 'F1']",56.11,6581,C,D045,R,ATH,"MAZDA_MX_5_MIATA purchased in 1996; 83 leads to 9E; ['S01'] used in ['F02', 'P01']; ODO 6581->6636 logically increases"
MAZDA_CX_70_PHEV,2025,62508,P,01,9A,['T01'],[2],"['H01', 'W01']",2339.15,1.1,"['', 'B5']",0,62312,W,D132,R,BAT,"MAZDA_CX_70_PHEV purchased in 2025; 01 leads to 9A; ['T01'] used in ['H01', 'W01']; ODO 62312->62508 logically increases"
MAZDA_CX_90_PHEV,2023,14086,R,97,9F,['B01'],[1],"['H01', 'N01']",2483.11,0.6,['A1'],298.28,13694,C,D097,A,ACP,"MAZDA_CX_90_PHEV purchased in 2023; 97 leads to 9F; ['B01'] used in ['H01', 'N01']; ODO 13694->14086 logically increases"
MAZDA3_HATCHBACK,2011,65235,P,03,9E,"['L01', 'H01']","[2, 1]","['F01', 'W01']",2111.47,0.7,"['D1', 'F1']",422.1,64924,T,D109,R,CMP,"MAZDA3_HATCHBACK purchased in 2011; 03 leads to 9E; ['L01', 'H01'] used in ['F01', 'W01']; ODO 64924->65235 logically increases"
MAZDA_CX_90_PHEV,2025,16827,K,82,9F,['E02'],[2],['F02'],310.58,6.8,"['F1', 'E9']",372.29,16712,T,D135,R,SUB,MAZDA_CX_90_PHEV purchased in 2025; 82 leads to 9F; ['E02'] used in ['F02']; ODO 16712->16827 logically increases
MAZDA_CX_70,2024,128901,P,24,9C,"['E02', 'H01']","[1, 2]",['P01'],456.24,9.3,"['D1', '']",225.82,128702,W,D126,A,ACP,"MAZDA_CX_70 purchased in 2024; 24 leads to 9C; ['E02', 'H01'] used in ['P01']; ODO 128702->128901 logically increases"
MAZDA_CX_5,2013,54979,R,39,81,"['S01', 'L01']","[1, 2]","['F01', 'N01']",2377.72,7.3,"['B5', 'F1']",95.27,54655,T,D087,R,BAT,"MAZDA_CX_5 purchased in 2013; 39 leads to 81; ['S01', 'L01'] used in ['F01', 'N01']; ODO 54655->54979 logically increases"
MAZDA_MX_5_MIATA,2015,13517,R,13,9E,"['L01', 'E02']","[2, 1]",['W01'],1116.07,0.7,"['D1', 'F1']",372.99,13126,T,D120,A,ACP,"MAZDA_MX_5_MIATA purchased in 2015; 13 leads to 9E; ['L01', 'E02'] used in ['W01']; ODO 13126->13517 logically increases"
MAZDA_CX_50,2024,25948,A,57,9C,"['E02', 'H01']","[2, 2]",['F01'],669.18,8.2,"['D1', '']",37.17,25580,C,D041,R,PID,"MAZDA_CX_50 purchased in 2024; 57 leads to 9C; ['E02', 'H01'] used in ['F01']; ODO 25580->25948 logically increases"
MAZDA3_SEDAN,2020,10273,R,13,9E,['S01'],[1],['F02'],953.72,7.3,"['D1', 'C1']",134.75,9843,T,D018,R,PGM,MAZDA3_SEDAN purchased in 2020; 13 leads to 9E; ['S01'] used in ['F02']; ODO 9843->10273 logically increases
MAZDA_CX_90,2024,63919,A,45,81,"['B01', 'E02']","[2, 2]","['W01', 'P01']",1991.13,2.8,['C1'],368.81,63756,W,D065,R,TML,"MAZDA_CX_90 purchased in 2024; 45 leads to 81; ['B01', 'E02'] used in ['W01', 'P01']; ODO 63756->63919 logically increases"
MAZDA_CX_50_HYBRID,2025,63738,R,12,9C,['S01'],[1],['H05'],1457.84,6,['F1'],36.43,63454,T,D012,A,ACP,MAZDA_CX_50_HYBRID purchased in 2025; 12 leads to 9C; ['S01'] used in ['H05']; ODO 63454->63738 logically increases
MAZDA_CX_70_PHEV,2025,134950,R,21,9F,['S01'],[1],['W01'],832.17,6.3,"['E9', 'K1']",365.35,134795,T,D104,R,QTY,MAZDA_CX_70_PHEV purchased in 2025; 21 leads to 9F; ['S01'] used in ['W01']; ODO 134795->134950 logically increases
MAZDA3_HATCHBACK,2007,54344,R,51,9F,"['E02', 'B01']","[2, 1]",['P01'],1855.62,4.4,['A1'],136.1,54170,C,D093,A,ACP,"MAZDA3_HATCHBACK purchased in 2007; 51 leads to 9F; ['E02', 'B01'] used in ['P01']; ODO 54170->54344 logically increases"
MAZDA_CX_90,2025,137108,A,05,8Z,['H01'],[2],"['H05', 'F02']",636.82,1,['K1'],294.1,136692,C,D137,A,ACP,"MAZDA_CX_90 purchased in 2025; 05 leads to 8Z; ['H01'] used in ['H05', 'F02']; ODO 136692->137108 logically increases"
MAZDA_CX_90_PHEV,2025,146302,A,71,9E,"['L01', 'S01']","[2, 1]","['N01', 'H05']",2024.17,5.5,"['D1', 'F1']",91.53,145976,W,D141,A,ACP,"MAZDA_CX_90_PHEV purchased in 2025; 71 leads to 9E; ['L01', 'S01'] used in ['N01', 'H05']; ODO 145976->146302 logically increases"
MAZDA_MX_5_MIATA,2011,96369,R,33,81,['E02'],[2],['H05'],314.09,6.2,"['A1', 'D1']",498.35,95990,T,D067,A,ACP,MAZDA_MX_5_MIATA purchased in 2011; 33 leads to 81; ['E02'] used in ['H05']; ODO 95990->96369 logically increases
MAZDA_CX_90_PHEV,2023,23468,K,02,9D,['B01'],[1],"['H05', 'H01']",2402.13,1.4,['D1'],394.68,23171,C,D081,A,ACP,"MAZDA_CX_90_PHEV purchased in 2023; 02 leads to 9D; ['B01'] used in ['H05', 'H01']; ODO 23171->23468 logically increases"
MAZDA_CX_50_HYBRID,2025,92072,R,21,9C,['L01'],[2],['F02'],75.67,7.8,"['A1', 'K1']",73.88,91639,T,D012,A,ACP,MAZDA_CX_50_HYBRID purchased in 2025; 21 leads to 9C; ['L01'] used in ['F02']; ODO 91639->92072 logically increases
MAZDA_CX_30,2019,22398,K,04,8Z,"['H01', 'S01']","[2, 2]",['F02'],1191.41,5.3,['K1'],169.32,22123,C,D084,R,TML,"MAZDA_CX_30 purchased in 2019; 04 leads to 8Z; ['H01', 'S01'] used in ['F02']; ODO 22123->22398 logically increases"
MAZDA3_SEDAN,2012,139721,K,13,9B,"['E02', 'B01']","[1, 1]","['P01', 'F01']",1310.72,4.7,"['E9', 'C1']",316.51,139463,W,D062,R,TML,"MAZDA3_SEDAN purchased in 2012; 13 leads to 9B; ['E02', 'B01'] used in ['P01', 'F01']; ODO 139463->139721 logically increases"
MAZDA_CX_90_PHEV,2024,137199,A,65,9C,"['H01', 'L01']","[2, 1]","['F02', 'N01']",2266.21,4.7,"['E9', 'C1']",449.02,137101,W,D042,R,DSA,"MAZDA_CX_90_PHEV purchased in 2024; 65 leads to 9C; ['H01', 'L01'] used in ['F02', 'N01']; ODO 137101->137199 logically increases"
MAZDA_CX_30,2022,117883,K,69,8W,"['T01', 'E02']","[1, 1]",['W01'],998.95,2.8,['A1'],127.48,117554,W,D053,A,ACP,"MAZDA_CX_30 purchased in 2022; 69 leads to 8W; ['T01', 'E02'] used in ['W01']; ODO 117554->117883 logically increases"
MAZDA_CX_50,2023,51388,A,24,9B,"['H01', 'B01']","[2, 2]",['N01'],1119.05,1.1,['E9'],430.25,51231,W,D083,A,ACP,"MAZDA_CX_50 purchased in 2023; 24 leads to 9B; ['H01', 'B01'] used in ['N01']; ODO 51231->51388 logically increases"
MAZDA_CX_5,2019,123016,R,44,9F,['E02'],[2],['W01'],1918.31,7,['K1'],337.66,122560,C,D146,R,RNT,MAZDA_CX_5 purchased in 2019; 44 leads to 9F; ['E02'] used in ['W01']; ODO 122560->123016 logically increases
MAZDA_CX_90_PHEV,2025,34827,R,17,8Z,"['B01', 'E02']","[1, 1]","['F02', 'P01']",225.15,5,['C1'],155.62,34641,T,D014,A,ACP,"MAZDA_CX_90_PHEV purchased in 2025; 17 leads to 8Z; ['B01', 'E02'] used in ['F02', 'P01']; ODO 34641->34827 logically increases"
MAZDA_CX_50_HYBRID,2025,85933,K,33,9E,"['L01', 'T01']","[1, 1]",['F02'],1953.46,7.2,"['D1', 'C1']",110.58,85671,T,D013,A,ACP,"MAZDA_CX_50_HYBRID purchased in 2025; 33 leads to 9E; ['L01', 'T01'] used in ['F02']; ODO 85671->85933 logically increases"
MAZDA_CX_70_PHEV,2024,105731,R,49,81,['E02'],[2],['H01'],911.72,5.9,"['D1', 'B5']",285.28,105392,C,D002,R,ATH,MAZDA_CX_70_PHEV purchased in 2024; 49 leads to 81; ['E02'] used in ['H01']; ODO 105392->105731 logically increases
MAZDA_CX_90,2025,121760,K,59,81,['L01'],[1],['P01'],2410.13,5.1,"['', 'F1']",0,121274,C,D047,R,DOC,MAZDA_CX_90 purchased in 2025; 59 leads to 81; ['L01'] used in ['P01']; ODO 121274->121760 logically increases
MAZDA_CX_70,2025,43448,A,69,9C,"['B01', 'S01']","[2, 1]",['F01'],2314.17,0.9,"['D1', 'B5']",161.37,43290,C,D026,A,ACP,"MAZDA_CX_70 purchased in 2025; 69 leads to 9C; ['B01', 'S01'] used in ['F01']; ODO 43290->43448 logically increases"
MAZDA_CX_30,2025,99541,K,43,8W,"['E02', 'L01']","[1, 1]",['F01'],159.73,9.5,['F1'],466.38,99160,C,D076,A,ACP,"MAZDA_CX_30 purchased in 2025; 43 leads to 8W; ['E02', 'L01'] used in ['F01']; ODO 99160->99541 logically increases"
MAZDA_CX_70,2025,140743,K,66,8W,['T01'],[2],"['N01', 'F02']",1883.52,5.2,"['E9', 'D1']",132.03,140486,C,D105,R,FIN,"MAZDA_CX_70 purchased in 2025; 66 leads to 8W; ['T01'] used in ['N01', 'F02']; ODO 140486->140743 logically increases"
MAZDA_CX_50_HYBRID,2025,104245,P,86,9A,['E01'],[1],['H05'],1436.67,6.7,"['E9', '']",389.8,104115,T,D001,A,ACP,MAZDA_CX_50_HYBRID purchased in 2025; 86 leads to 9A; ['E01'] used in ['H05']; ODO 104115->104245 logically increases
MAZDA3_HATCHBACK,2023,129820,A,6X,9C,"['E02', 'T01']","[1, 2]",['N01'],1869.89,2.4,['D1'],451.97,129434,T,D048,R,BRV,"MAZDA3_HATCHBACK purchased in 2023; 6X leads to 9C; ['E02', 'T01'] used in ['N01']; ODO 129434->129820 logically increases"
MAZDA_MX_5_MIATA,2009,83071,R,67,9C,['T01'],[1],"['N01', 'F02']",1526.7,5.2,['K1'],379.28,82694,T,D001,A,ACP,"MAZDA_MX_5_MIATA purchased in 2009; 67 leads to 9C; ['T01'] used in ['N01', 'F02']; ODO 82694->83071 logically increases"
MAZDA_CX_70_PHEV,2024,5651,R,72,8W,"['S01', 'E02']","[1, 1]",['F02'],342.91,3.3,['K1'],66.44,5393,W,D107,R,SUB,"MAZDA_CX_70_PHEV purchased in 2024; 72 leads to 8W; ['S01', 'E02'] used in ['F02']; ODO 5393->5651 logically increases"
MAZDA_CX_90_PHEV,2024,142203,K,39,8Z,['L01'],[2],['F02'],1041.4,0.6,[''],0,141974,T,D077,R,DCO,MAZDA_CX_90_PHEV purchased in 2024; 39 leads to 8Z; ['L01'] used in ['F02']; ODO 141974->142203 logically increases
MAZDA_CX_50,2022,12754,P,97,9C,['L01'],[2],"['W01', 'N01']",1194.36,3.7,['D1'],415.47,12428,C,D072,A,ACP,"MAZDA_CX_50 purchased in 2022; 97 leads to 9C; ['L01'] used in ['W01', 'N01']; ODO 12428->12754 logically increases"
MAZDA3_SEDAN,2017,134693,K,74,8Z,"['B01', 'H01']","[2, 2]","['F02', 'H01']",933.34,9.6,['E9'],355.74,134443,T,D124,R,FIN,"MAZDA3_SEDAN purchased in 2017; 74 leads to 8Z; ['B01', 'H01'] used in ['F02', 'H01']; ODO 134443->134693 logically increases"
MAZDA3_SEDAN,2012,80911,A,10,9F,['L01'],[2],['F01'],1787.23,6.5,"['K1', 'C1']",477.42,80605,C,D109,A,ACP,MAZDA3_SEDAN purchased in 2012; 10 leads to 9F; ['L01'] used in ['F01']; ODO 80605->80911 logically increases
MAZDA3_HATCHBACK,2010,127304,K,63,8W,['L01'],[1],['H05'],2452.45,7,['E9'],228.18,127159,T,D026,A,ACP,MAZDA3_HATCHBACK purchased in 2010; 63 leads to 8W; ['L01'] used in ['H05']; ODO 127159->127304 logically increases
MAZDA_CX_50,2024,115725,K,77,81,"['B01', 'E02']","[1, 1]",['H05'],2198.36,9.1,['K1'],203.33,115419,C,D048,A,ACP,"MAZDA_CX_50 purchased in 2024; 77 leads to 81; ['B01', 'E02'] used in ['H05']; ODO 115419->115725 logically increases"
MAZDA_CX_50,2024,103005,A,72,9E,"['T01', 'H01']","[2, 1]",['F02'],1917.55,0.5,['K1'],341.09,102863,C,D138,R,DSA,"MAZDA_CX_50 purchased in 2024; 72 leads to 9E; ['T01', 'H01'] used in ['F02']; ODO 102863->103005 logically increases"
MAZDA_CX_90,2024,12321,P,91,9B,['E01'],[1],['P01'],123.72,4.3,"['E9', 'F1']",437.37,12061,W,D028,R,TSB,MAZDA_CX_90 purchased in 2024; 91 leads to 9B; ['E01'] used in ['P01']; ODO 12061->12321 logically increases
MAZDA_CX_70_PHEV,2025,117123,R,68,9D,"['L01', 'S01']","[2, 1]",['N01'],1617.18,7.6,"['E9', '']",264.64,116707,C,D141,A,ACP,"MAZDA_CX_70_PHEV purchased in 2025; 68 leads to 9D; ['L01', 'S01'] used in ['N01']; ODO 116707->117123 logically increases"
MAZDA_MX_5_MIATA_RF,2020,37072,P,99,9E,"['L01', 'E01']","[2, 1]","['F01', 'F02']",921.49,9,"['K1', 'B5']",212.61,36976,C,D002,R,DUP,"MAZDA_MX_5_MIATA_RF purchased in 2020; 99 leads to 9E; ['L01', 'E01'] used in ['F01', 'F02']; ODO 36976->37072 logically increases"
MAZDA_CX_70,2025,12952,R,80,8Z,['E02'],[2],"['W01', 'H05']",119.17,6.1,"['A1', '']",201.95,12617,W,D074,A,ACP,"MAZDA_CX_70 purchased in 2025; 80 leads to 8Z; ['E02'] used in ['W01', 'H05']; ODO 12617->12952 logically increases"
MAZDA_MX_5_MIATA,2019,26631,P,54,9D,"['E02', 'S01']","[1, 2]",['H05'],1797.98,9,"['B5', 'C1']",374.17,26461,W,D119,R,DOC,"MAZDA_MX_5_MIATA purchased in 2019; 54 leads to 9D; ['E02', 'S01'] used in ['H05']; ODO 26461->26631 logically increases"
MAZDA_MX_5_MIATA,2005,22457,K,85,9D,"['T01', 'H01']","[1, 1]",['N01'],376.6,1.8,['F1'],395.23,22344,T,D013,A,ACP,"MAZDA_MX_5_MIATA purchased in 2005; 85 leads to 9D; ['T01', 'H01'] used in ['N01']; ODO 22344->22457 logically increases"
MAZDA_MX_5_MIATA,1993,69369,A,25,9F,"['E01', 'B01']","[2, 1]",['F02'],1601.61,9.9,"['', 'A1']",0,69305,W,D020,R,TML,"MAZDA_MX_5_MIATA purchased in 1993; 25 leads to 9F; ['E01', 'B01'] used in ['F02']; ODO 69305->69369 logically increases"
MAZDA_MX_5_MIATA_RF,2024,84334,K,52,9E,['B01'],[1],['W01'],1512.69,6.4,"['C1', 'F1']",188.37,83921,C,D131,R,DUP,MAZDA_MX_5_MIATA_RF purchased in 2024; 52 leads to 9E; ['B01'] used in ['W01']; ODO 83921->84334 logically increases
MAZDA_MX_5_MIATA_RF,2023,119479,R,53,9D,"['E01', 'L01']","[2, 2]",['F02'],2416.12,8.7,"['B5', 'A1']",138.02,119207,C,D076,R,FIN,"MAZDA_MX_5_MIATA_RF purchased in 2023; 53 leads to 9D; ['E01', 'L01'] used in ['F02']; ODO 119207->119479 logically increases"
MAZDA_CX_50_HYBRID,2025,110097,R,04,8W,"['E01', 'L01']","[1, 2]",['H01'],337.39,2.5,"['F1', 'K1']",491.86,109805,C,D081,A,ACP,"MAZDA_CX_50_HYBRID purchased in 2025; 04 leads to 8W; ['E01', 'L01'] used in ['H01']; ODO 109805->110097 logically increases"
MAZDA_CX_70,2025,105635,K,47,81,['T01'],[2],['H01'],1546.03,1.6,['C1'],497.43,105240,W,D134,R,CMP,MAZDA_CX_70 purchased in 2025; 47 leads to 81; ['T01'] used in ['H01']; ODO 105240->105635 logically increases
MAZDA_CX_5,2018,96849,A,31,8Z,['L01'],[1],['F02'],944.49,7.8,"['C1', 'B5']",409.5,96412,C,D034,A,ACP,MAZDA_CX_5 purchased in 2018; 31 leads to 8Z; ['L01'] used in ['F02']; ODO 96412->96849 logically increases
